name,category,count,first_mentioned_in,example_note
vent,hvac,20,April 22.pdf,cheduled for today King and Queen meal event holiday meal giveaway Piping of the par
elevator,big_equipment,14,December 22.pdf,"Elevator frequently breaking down | , and 3 ready to be leased Waiting list Elevator frequently breaking down ROSS Grant"
plumbing,plumbing_fixtures,13,January 24.pdf,None
radiator,big_equipment,11,January 20.pdf,
faucet,plumbing_fixtures,9,April 25.pdf,
grab bar,accessibility_safety,9,January 20.pdf,
sink,plumbing_fixtures,8,April 25.pdf,
hvac,hvac,8,February 24.pdf,Good deed month winter month replacing HVAC units establishing special police offic
toilet,plumbing_fixtures,8,January 20.pdf,
water,services,7,April 21.pdf,acement of the American flag  MDE Waste-Water Sampling Program: Waiting List: Everyon
handicap handle,accessibility_safety,6,January 20.pdf,"area discussed replacement of faucets, handicap handles, garden (catch rain water) discussed s"
boiler,hvac,6,July 22.pdf,Property Updates: tree fell down on the HVAC unit (outside boiler)
garden,other,5,January 20.pdf,discussed garden (catch rain water)
door,doors_windows,5,July 20.pdf,cost that were incurred by the HACCP from 2018 — 2019.
roof,services,4,February 24.pdf,ers leasing of several units units with roof leaks issue with elevators  repositioni
rail,accessibility_safety,3,April 22.pdf,ance during this difficult time. Bunny Trail Health Awareness Fair/50th Anniversary/
parking lot,facilities,3,February 20.pdf,Parking lot plan approved by P.G. County
air conditioner,hvac,3,February 24.pdf,ood deed month winter month replacing HVAC units establishing special police officers l
windows,doors_windows,3,January 24.pdf,None
doors,doors_windows,3,January 24.pdf,None
tree,other,3,July 22.pdf,Property Updates: tree fell down
light,electrical,3,July 25.pdf,alth month Mother’s Day event April highlights May highlights voter registration driv
vending machine,small_equipment,2,April 21.pdf,The residents responded through the survey; they approve of the installation of a vending machine.
inspections,services,2,April 25.pdf,Inspection updates
units,other,2,December 22.pdf,renovation of units
residents,other,2,December 22.pdf,48% resident participation
bank account,services,2,February 20.pdf,"The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. Simpson"
parking permits,appliances,2,February 20.pdf,Proposal for parking permits
switch,electrical,2,February 20.pdf,"working on bank account at SunTrust to switch over, paperwork, Mr. Simpson informatio"
trash,services,2,February 23.pdf,"eased units, and 4 units ready to lease Trash chute proposal Continued work on the lo"
solar panels,small_equipment,2,February 26.pdf,using solar panels on both the side and top of the building
faucets,plumbing_fixtures,2,January 20.pdf,discussed replacement of faucets
repairs,other,2,January 24.pdf,repairs needed
appliances,appliances,2,January 24.pdf,None
cameras,small_equipment,2,July 20.pdf,Cameras will be installed
electrical,hvac,2,July 22.pdf,Repositioning: performed an evaluation on the electrical
pest control,services,2,July 22.pdf,Pest control
radiators,hvac,2,July 22.pdf,This item was not specifically mentioned in the meeting
hvac system,big_equipment,2,March 23.pdf,grant: HACCP awarded $357K to be utilized for the HVAC/plumbing replacement
tub,plumbing_fixtures,2,March 23.pdf,Ms. Norman discussed her bath tub needing to be replaced. | AD Board. Ms. Norman discussed her bath tub needing to be re
maintenance,services,2,May 20.pdf,re / e Maintenance /
wheelchair,other,2,May 23.pdf,French doors installed in the lobby to allow easier access into the activity room by wheelchair.
pipe,plumbing_fixtures,2,May 24.pdf,HA 24-3 resolution Replacement of riser pipes over top of the new HVAC units Grants:
bed bugs,other,1,April 21.pdf,residents unit treated for bed bugs
american flag,other,1,April 21.pdf,Replacement of the American flag
wifi internet,services,1,April 21.pdf,Concerning the follow up of WIFI internet services.
leader training,services,1,April 21.pdf,The Board discussed leadership training for all commissioners.
security service,services,1,April 21.pdf,New security service company started on Attick Towers
coordinator,services,1,April 21.pdf,Hiring a coordinator for elderly/disabled services.
"$249,000",services,1,April 21.pdf,"Funding of $249,000"
hot water,hvac,1,April 25.pdf,Ms. Kilpatrick discussed the water in her residence takes a long time to get hot.
regrant,services,1,April 25.pdf,Receipt of $1.5 M/M.50K/$1K grant assisted by Mr. Malik.
repositioning,services,1,April 25.pdf,Repositioning overview: Currently being worked on
egress updates,doors_windows,1,April 25.pdf,Egress updates
pest control company,services,1,December 22.pdf,discussed the pest control company
ross grant coordinator,other,1,December 22.pdf,ROSS Grant Coordinator
bus trips,other,1,December 22.pdf,Bus Trips
capital food bank,other,1,December 22.pdf,Capital Food Bank
booster/flu shots,other,1,December 22.pdf,booster/Flu shots
decorated holiday tree,other,1,December 22.pdf,decorated holiday tree
arts and crafts,other,1,December 22.pdf,arts and crafts
holiday dinner,other,1,December 22.pdf,holiday dinner
annual goals,other,1,December 22.pdf,overview of annual goals
fiscal end report,other,1,December 22.pdf,fiscal end report submitted on 10/24/22
office,other,1,December 22.pdf,office closed on 12/26/22 and 1/2/23
eloccs payment system,services,1,February 20.pdf,"The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. Simpson"
paperwork,services,1,February 20.pdf,"The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. Simpson"
mr. simpson information,services,1,February 20.pdf,"The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. Simpson"
forms,services,1,February 20.pdf,"The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. Simpson"
capital operation,big_equipment,1,February 20.pdf,"The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. Simpson"
pull down,appliances,1,February 20.pdf,"The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. Simpson"
$40k,services,1,February 20.pdf,"The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. Simpson"
suntrust,banks_financial,1,February 20.pdf,"The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. Simpson"
