category,name,canonical,count,first_mentioned_filename,first_mentioned_date,example_snippet
Accessibility and safety features,Fire Extinguisher,fire extinguisher,3,April 2024.pdf,"April 25, 2024",fire extinguisher inspection was mentioned
Accessibility and safety features,Ramp,ramp,2,December 2023.pdf,"December 14, 2023",planned repairing of the ramp out front
Accessibility and safety features,Security System,security system,2,April 2020.pdf,"April 23, 2020","Teleplus Security invoice of $3,064.55 was approved unanimously by a vote of 4-0"
Accessibility and safety features,Alarms,alarms,1,Jun 2022.pdf,"June 23, 2022",alarms reinstalled in the dining room and lobby
Accessibility and safety features,Egress,egress,1,April 2025.pdf,"April 24, 2025",egress updates were discussed as part of annual inspection updates
Accessibility and safety features,Emergency Pull Cords,emergency pull cords,1,September 2023.pdf,"September 28, 2023",installation and activation of emergency pull cords in units was completed and thanked by Carl Patterson
Accessibility and safety features,Fire Alarm,fire alarm,1,January 2024.pdf,"January 25, 2024",passed fire alarm inspection
Accessibility and safety features,Fire Alarm System,fire alarm system,1,March 2025.pdf,"March 27, 2025",resident requested announcements when fire alarm at Attick Towers goes off and is cleared
Accessibility and safety features,Fire Protection System,fire protection system,1,January 2022.pdf,"January 27, 2022","approved payment to Cintas Fire Protection for $2,932.77"
Accessibility and safety features,Fire Suppression System,fire suppression system,1,July 2025.pdf,"July 24, 2025",City of College Park grant/ARPA grant discussed for replacing the fire suppression system
Accessibility and safety features,Fire System,fire system,1,May 2025.pdf,"May 22, 2025",bond bill referenced for the fire system
Accessibility and safety features,Foot Pedal Knobs,foot pedal knobs,1,February 2020.pdf,"February 27, 2020",proposed installation of handicap accessible foot pedal knobs
Accessibility and safety features,Gates,gates,1,March 2025.pdf,"March 27, 2025",emergency and safety grants mentioned for gates as part of security improvements
Accessibility and safety features,Hand Railing,hand railing,1,September 2025.pdf,"September 25, 2025",Ms. Bay discussed visitors and hand railing
Accessibility and safety features,Handicap Handles,handicap handles,1,January 2020.pdf,"January 23, 2020",resident discussed replacement of handicap handles
Accessibility and safety features,Locks,locks,1,January 2022.pdf,"January 27, 2022","approved payment to Ernie's Lock for $2,312.40"
Accessibility and safety features,Security Alarm,security alarm,1,January 2024.pdf,"January 25, 2024",passed security alarm inspection
Accessibility and safety features,Social Distance Markings,social distance markings,1,September 2020.pdf,"September 24, 2020",resident requested social distance markings be put in the park area
Accessibility and safety features,Speed Bumps,speed bumps,1,September 2022.pdf,"September 22, 2022",speed bumps painting has been completed
Accessibility and safety features,Sprinkler System,sprinkler system,1,January 2024.pdf,"January 25, 2024",passed sprinkler alarm inspection
Accessibility and safety features,Stairways,stairways,1,December 2025.pdf,"December 18, 2025",homeless individuals being allowed to sleep on stairways
Appliances,Dryer,dryer,3,June 2025.pdf,"June 26, 2025",one dryer is not working in the laundry room
Appliances,Laundry Equipment,laundry equipment,2,March 2026.pdf,"March 26, 2026","F & B laundry equipment referenced, invoice approved for $6,804.00"
Appliances,Laundry Machines,laundry machines,2,January 2020.pdf,"January 23, 2020","resident discussed funds for laundry; written agreement concerning shared laundry fees with $3,454.54 deposited into Resident Council account"
Appliances,Washer,washer,2,June 2025.pdf,"June 26, 2025",new washer being purchased for Attick Towers
Appliances,Laundry Facility,laundry facility,1,May 2022.pdf,"May 25, 2022",resident discussed laundry facility having problems every month and inquired about maintenance
Appliances,Laundry Room,laundry room,1,July 2020.pdf,"July 23, 2020",cameras to be installed in laundry room as part of security upgrade
Appliances,Outdoor Grills,outdoor grills,1,Jun 2022.pdf,"June 23, 2022","two new outdoor grills needed at Attick Towers, approved spending up to $2,000 from resident fund"
Appliances,Washer And Dryers,washer and dryers,1,October 2025.pdf,"October 23, 2025","new washer and dryers referenced in invoice approvals, approved payment for $6,804.00"
Appliances,Washing Machines,washing machines,1,Oct 2020.pdf,"October 22, 2020",multiple washing machines are not working in the laundry room
Big Equipment,Elevator,elevator,34,April 2020.pdf,"April 23, 2020","elevator maintenance invoice of $4,225.25 was approved unanimously by a vote of 4-0"
Big Equipment,Generator,generator,6,April 2024.pdf,"April 25, 2024",passed generator inspection
Big Equipment,Cargo Elevator Floor,cargo elevator floor,1,September 2025.pdf,"September 25, 2025",cargo elevator floor has been laid
Big Equipment,Elevator Doors,elevator doors,1,September 2025.pdf,"September 25, 2025",painting of elevator doors discussed
Big Equipment,Mechanical Systems,mechanical systems,1,May 2022.pdf,"May 25, 2022",mechanical and engineering report will be completed to assist with receiving the obsolescence certification
Big Equipment,Trash Compactor,trash compactor,1,March 2023.pdf,"March 23, 2023",Dumpster/trash compactor discussed
Electrical,Cameras,cameras,2,July 2020.pdf,"July 23, 2020","cameras will be installed in front of building, laundry room, and blind spots"
Electrical,Lighting,lighting,2,January 2020.pdf,"January 23, 2020",installation of lighting requiring city approvals and a construction bond of $8k-$10k
Electrical,Alarm,alarm,1,December 2023.pdf,"December 14, 2023",alarm was reported going off by a resident; alarm inspection conducted
Electrical,Electrical System,electrical system,1,July 2022.pdf,"July 28, 2022",evaluation performed on the electrical system of the building
Electrical,Lights,lights,1,June 2021.pdf,"June 24, 2021",lights are off in the front office
Electrical,Property Cameras,property cameras,1,March 2020.pdf,"March 30, 2020",cameras have been updated to allow staff to watch via remote 24 hours a day
Electrical,Security Cameras,security cameras,1,March 2025.pdf,"March 27, 2025",emergency and safety grants mentioned for camera system installation or upgrades
Electrical,Security Cameras (Exterior),security cameras (exterior),1,July 2022.pdf,"July 28, 2022",costs solicited for cameras to be installed out front of the building
Electrical,Security Cameras (Lobby),security cameras (lobby),1,July 2022.pdf,"July 28, 2022",cameras scheduled to be installed in the lobby
Electrical,Solar Panels,solar panels,1,February 2026.pdf,"February 26, 2026","motion approved to install solar panels on both the side and top of the building, voted 4-0"
Electrical,Surveillance System,surveillance system,1,Oct 2020.pdf,"October 22, 2020",applying for a HUD grant to fund surveillance installation
HVAC,Hvac System,hvac system,6,April 2024.pdf,"April 25, 2024",HVAC upgrades discussed as part of budget
HVAC,Boiler,boiler,5,January 2024.pdf,"January 25, 2024",applying for emergency grant from HUD for boiler installation
HVAC,Cooling Tower,cooling tower,2,November 2020.pdf,"November 19, 2020",water treatment for cooling tower included in budget discussion
HVAC,Hvac Units,hvac units,2,February 2024.pdf,"February 22, 2024","Replace all HVAC units at Attick Towers, construction expected to begin first week in March"
HVAC,Ac,ac,1,June 2024.pdf,"June 27, 2024",AC work completed
HVAC,Boiler System,boiler system,1,May 2025.pdf,"May 22, 2025",grants of $50K and $1K referenced for the boiler system
